"id","providerId","utcStartTime","status","compSeason.id","compSeason.providerId","compSeason.name","compSeason.shortName","compSeason.currentRoundNumber","round.id","round.providerId","round.abbreviation","round.name","round.roundNumber","round.byes","home.team.id","home.team.providerId","home.team.name","home.team.abbreviation","home.team.nickname","home.team.teamType","home.team.club.id","home.team.club.providerId","home.team.club.name","home.team.club.abbreviation","home.team.club.nickname","home.score.goals","home.score.behinds","home.score.totalScore","home.score.superGoals","away.team.id","away.team.providerId","away.team.name","away.team.abbreviation","away.team.nickname","away.team.teamType","away.team.club.id","away.team.club.providerId","away.team.club.name","away.team.club.abbreviation","away.team.club.nickname","away.score.goals","away.score.behinds","away.score.totalScore","away.score.superGoals","venue.id","venue.providerId","venue.name","venue.abbreviation","venue.location","venue.state","venue.timezone","metadata.ticket_link","compSeason.year"
3835,"CD_M20220140309","2022-04-03T08:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,590,"CD_R202201403","Rd 3","Round 3",3,"",18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles",7,5,47,0,14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",15,12,102,0,65,"CD_V2925","Optus Stadium","OS","Perth","WA","Australia/Perth","https://www.ticketmaster.com.au/afl",2022
3836,"CD_M20220140401","2022-04-07T09:40:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",7,"CD_T110","Port Adelaide","PORT","Power","MEN",19,"CD_O24","Port Adelaide","Power","Power",4,12,36,0,17,"CD_T90","Melbourne","MELB","Demons","MEN",14,"CD_O18","Melbourne","Demons","Demons",10,8,68,0,31,"CD_V6","Adelaide Oval","AO","Adelaide","SA","Australia/Adelaide","https://premier.ticketek.com.au/shows/show.aspx?sh=PORTA0422",2022
3837,"CD_M20220140402","2022-04-08T09:50:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",10,"CD_T70","Geelong Cats","GEEL","Cats","MEN",15,"CD_O11","Geelong Cats","Cats","Cats",11,14,80,0,2,"CD_T20","Brisbane Lions","BL","Lions","MEN",13,"CD_O3","Brisbane Lions","Lions","Lions",11,4,70,0,15,"CD_V30","GMHBA Stadium","GMHBA","Geelong","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/afl",2022
3838,"CD_M20220140403","2022-04-09T04:40:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",13,"CD_T160","Sydney Swans","SYD","Swans","MEN",24,"CD_O28","Sydney Swans","Swans","Swans",13,8,86,0,6,"CD_T100","North Melbourne","NMFC","Kangaroos","MEN",20,"CD_O20","North Melbourne","Kangaroos","Kangaroos",12,3,75,0,9,"CD_V60","SCG","SCG","Sydney","NSW","Australia/Sydney","https://premier.ticketek.com.au/shows/Show.aspx?sh=SWA0422",2022
3839,"CD_M20220140404","2022-04-09T06:35:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",3,"CD_T40","Collingwood","COLL","Magpies","MEN",12,"CD_O6","Collingwood","Magpies","Magpies",10,14,74,0,18,"CD_T150","West Coast Eagles","WCE","Eagles","MEN",23,"CD_O30","West Coast Eagles","Eagles","Eagles",14,3,87,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C5890230AE1",2022
3841,"CD_M20220140405","2022-04-09T09:25:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",16,"CD_T120","Richmond","RICH","Tigers","MEN",22,"CD_O25","Richmond","Tigers","Tigers",15,9,99,0,8,"CD_T140","Western Bulldogs","WB","Bulldogs","MEN",25,"CD_O31","Western Bulldogs","Bulldogs","Bulldogs",7,19,61,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=RICHM0422",2022
3840,"CD_M20220140406","2022-04-09T09:25:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",14,"CD_T60","Fremantle","FRE","Dockers","MEN",6,"CD_O10","Fremantle","Dockers","Dockers",13,10,88,0,15,"CD_T1010","GWS Giants","GWS","Giants","MEN",5,"CD_O16","GWS Giants","Giants","Giants",8,6,54,0,65,"CD_V2925","Optus Stadium","OS","Perth","WA","Australia/Perth",NA,2022
3842,"CD_M20220140407","2022-04-10T03:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",12,"CD_T50","Essendon","ESS","Bombers","MEN",10,"CD_O9","Essendon","Bombers","Bombers",15,13,103,0,1,"CD_T10","Adelaide Crows","ADEL","Crows","MEN",3,"CD_O1","Adelaide Crows","Crows","Crows",15,9,99,0,3,"CD_V190","Marvel Stadium","MRVL","Melbourne","VIC","Australia/Melbourne","https://www.ticketmaster.com.au/event/25005C5887860A2E",2022
3843,"CD_M20220140408","2022-04-10T05:20:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",9,"CD_T80","Hawthorn","HAW","Hawks","MEN",16,"CD_O17","Hawthorn","Hawks","Hawks",10,13,73,0,11,"CD_T130","St Kilda","STK","Saints","MEN",21,"CD_O27","St Kilda","Saints","Saints",22,10,142,0,13,"CD_V40","MCG","MCG","Melbourne","VIC","Australia/Melbourne","https://premier.ticketek.com.au/shows/show.aspx?sh=HAWTH0422",2022
3844,"CD_M20220140409","2022-04-10T06:10:00.000+0000","CONCLUDED",43,"CD_S2022014","2022 Toyota AFL Premiership","Premiership",11,591,"CD_R202201404","Rd 4","Round 4",4,"",4,"CD_T1000","Gold Coast Suns","GCFC","Suns","MEN",9,"CD_O14","Gold Coast Suns","Suns","Suns",13,14,92,0,5,"CD_T30","Carlton","CARL","Blues","MEN",1,"CD_O5","Carlton","Blues","Blues",8,14,62,0,11,"CD_V81","Metricon Stadium","MS","Gold Coast","QLD","Australia/Brisbane","https://premier.ticketek.com.au/shows/show.aspx?sh=SUNS0222",2022
